{TEXT}	Text
{CAMERA}	Kamera
{ITEM}	ArtikelEditor
{BG}	Hintergrund
{MUSIC}	Musik
{WAKU}	Rahmen
{LOADUNIT}	EinheitPlacer
{UNITMOVE}	Bewegung der Einheit
{UNITREMOVE}	Löschen der Einheit
{UNITPERSOLNAL}	Abteilung Personalangelegenheiten
{UNIT}	Einheit Andere
{WEATHER}	Das Wetter
{MAPCHANGE}	FlieseÄnderungen
{MAPEFFECT}	Kartenproduktion
{MAP}	Karte Andere
{SUBROUTINE}	Unterprogramm
{COND}	Bedingungen
{JUMP}	Ast
{FLAG}	Flagge
{WMAPMOVE}	Weltkarte bewegen
{WMAPTEXT}	Weltkartentext
{WMAPUNIT}	Weltkarteneinheit
{WMAP}	Weltkarte Andere
{ENDING}	Endbeziehung
{}	Showalle
