TURN	Wende den Zustand an
TALK	Gesprächsbedingung (Sprechbefehl)
OBJECT	Kartenobjekte (Kontrollpunkte, Schatztruhen, Türen, Privathäuser, Dörfer)
ALWAYS	Immer Bedingung (Reichweitenbedingung, Siegbedingung usw.)
TRAP	Falle (Elliwood)
TRAP	Falle (HECTOR)
ENEMY_UNIT	Feindliche Anordnung (Elliwood Normal)
ENEMY_UNIT	Feindanordnung (Elliwood Hard)
ENEMY_UNIT	Feindliche Anordnung (Hector Normal)
ENEMY_UNIT	Feindliche Anordnung (Hector hart)
PLAYER_UNIT	Ally Anordnung (Eriwood Normal)
PLAYER_UNIT	Ally Anordnung (Eliwood Hard)
PLAYER_UNIT	Ally Anordnung (Hector Normal)
PLAYER_UNIT	Ally Anordnung (Hector hart)
START_EVENT	Kapitel Start-Ereignis
END_EVENT	Ende des Kapitels
