//midi(Decimal)	midiname	fingerprint
255	Dummy	SQ2d67b32ce7556c9736dab672a0cdd1a1

//Nimap FE8
//midi(Decimal)	midiname	fingerprint
0	Flügel	ecf854cbd791505ccf7c455f6f90b180
1	Aufrechtes Klavier	b24b8f8c47eb2ffaf05d03708a90a8bb
2	Elektrisch · Flügel	be1e9e181c70906bf610dcc8feab6a5c
4	Elektrisch · Klavier 2 (Rhodes-Typ)	1c527d8a59bd3edaf255390344ac01c2
6	Cembalo (Cembalo)	196a3bd207cfa7c6d9ca877bbadbc505
8	Celesta	78be8d70fa9b2e8f81ccdede95bf75ee
10	Spieluhr	1d7e32e54b863df5899a5c4c74b1ef22
11	Vibraphon	a0ffa4b2e958aab25b9a03dbadecabb5
12	Marimba	215d7df651b0422fec0031b9d277c017
13	Xylophon	100673381776f52326eb6e6847fff4b8
14	Tubenetikett	74efbf0bfdb870fd823c55483588ec50
15	Hackbrett	5406ebaf2cd01856a437f7ed7f316064
18	Elektrisches Organ (Schloss)	1ee735a527f401b68967006089d66953
19	Kirchenorgel	e84b7ac7f10222e5688ce314ede33c7b
20	Leitorgan	10be4e00f61e49391e01f85bf6fbe443
21	Akkordeon	baaa7443fbfa4b50bc219101eded9622
23	Tango Akkordeon	7681217ec25cde23b3fed09d3b5daa34
24	Rohgitarre (Nylon)	67ca844421353175b7b7ad9dfa4a7e61
28	E-Gitarre (stumm)	51c47e67fc7a3534abd03ec5ad8c0603
29	E-Gitarre (Overdrive)	82fc415dbc8ce17ef489760e3352dbc7
30	E-Gitarre (Verzerrung)	5147a06a0902b522202a6629c7244b2d
31	Gitarre · Resonanz (Oberton)	4c2a71b290dcf74d0360de6f6ed5d34d
32	Rohbasis (Holzbasis)	287d17b15b12ad3a7bd504c22199f12a
33	E-Bass (Finger)	169dc8763a2b46da5e5140026cb6f8d4
34	E-Bass (Pick)	169dc8763a2b46da5e5140026cb6f8d4
36	Slap Bassgitarre 1	9060cf344e45139d98a7e3e48d7a983f
38	Synth · Basis 1	7f9101e918a0667117eaaa263daa2414
39	Synth · Basis 2	c8ed9e6ab524e2e7f18aefbb67e76258
40	Violine (Boeing)	5982fbcd78893e405089f4b8c56e40b2
41	Viola (Boeing)	325dd5ad1c398073e6377f33c86abca3
42	Cello (Boeing)	d80cc4926aed7570908be5523b745c51
45	String Pitchwagen	3b67549fcce8b926b9e4856f607fa404
46	Orchester · Harfe	bfdf6ac8c6295b9b12fd5c8a742996ce
47	Pauke	30ab0ba0b1f13378ed34269ab7098a0d
