01B34D32	IsPrepShop@ChangeShopBGMEachChapter.dmp
01B34D42	IsWorldMapShop@ChangeShopBGMEachChapter.dmp
01B34D50	SetMapID@ChangeShopBGMEachChapter.dmp
01B34D54	LoopStart@ChangeShopBGMEachChapter.dmp
01B34D9C	Table@ChangeShopBGMEachChapter.dmp
01B34D5A	Loop@ChangeShopBGMEachChapter.dmp
01B34D7A	defualt_bgm@ChangeShopBGMEachChapter.dmp
01B34D62	CheckShopType@ChangeShopBGMEachChapter.dmp
01B34D68	CheckMapID@ChangeShopBGMEachChapter.dmp
01B34D72	Found@ChangeShopBGMEachChapter.dmp
01B1E536	Is_Hard_Mode@Change_Arena_Bet.dmp
01B1E530	Is_Normal_Mode@Change_Arena_Bet.dmp
01B1E52A	Is_Easy_Mode@Change_Arena_Bet.dmp
01B1E584	BetTable@Change_Arena_Bet.dmp
01B1E53A	Join@Change_Arena_Bet.dmp
073F62	Exit@ContinueBattleBGM.dmp
01B34D1A	Exit@ContinueBattleBGM.dmp
01B1FC5A	GetUnitInfoBySVAL1@get_status_param.dmp
01B1FC64	GetUnitInfoByCoord@get_status_param.dmp
01B1FC5E	GetUnitInfoByCurrent@get_status_param.dmp
01B1FC66	GetUnitInfo@get_status_param.dmp
01B1FC6C	ProcessMain@get_status_param.dmp
01B1FCF8	Term@get_status_param.dmp
01B1FCAC	get_ldr@get_status_param.dmp
01B1FCD4	get_unit_id@get_status_param.dmp
01B1FCDE	get_class_id@get_status_param.dmp
01B1FCB0	get_ldrb@get_status_param.dmp
01B1FCB4	get_1A_lower@get_status_param.dmp
01B1FCB8	get_1A_upper@get_status_param.dmp
01B1FCBC	get_1D_lower@get_status_param.dmp
01B1FCC0	get_1D_upper@get_status_param.dmp
01B1FCC4	get_30_lower@get_status_param.dmp
01B1FCC8	get_30_upper@get_status_param.dmp
01B1FCCC	get_31_lower@get_status_param.dmp
01B1FCD0	get_31_upper@get_status_param.dmp
01B1FCF4	MakeResult@get_status_param.dmp
01B1FCEE	get_lower@get_status_param.dmp
01B1FCE8	get_upper@get_status_param.dmp
01B1FD2A	GetUnitInfoBySVAL1@set_status_param.dmp
01B1FD34	GetUnitInfoByCoord@set_status_param.dmp
01B1FD2E	GetUnitInfoByCurrent@set_status_param.dmp
01B1FD36	GetUnitInfo@set_status_param.dmp
01B1FD3C	ProcessMain@set_status_param.dmp
01B1FDF6	Term@set_status_param.dmp
01B1FD80	set_str@set_status_param.dmp
01B1FDA8	set_unit_id@set_status_param.dmp
01B1FDBA	set_class_id@set_status_param.dmp
01B1FD84	set_strb@set_status_param.dmp
01B1FD88	set_1A_lower@set_status_param.dmp
01B1FD8C	set_1A_upper@set_status_param.dmp
01B1FD90	set_1D_lower@set_status_param.dmp
01B1FD94	set_1D_upper@set_status_param.dmp
01B1FD98	set_30_lower@set_status_param.dmp
01B1FD9C	set_30_upper@set_status_param.dmp
01B1FDA0	set_31_lower@set_status_param.dmp
01B1FDA4	set_31_upper@set_status_param.dmp
01B1FDE4	MakeResult@set_status_param.dmp
01B1FDDA	set_lower@set_status_param.dmp
01B1FDCC	set_upper@set_status_param.dmp
01AD5944	GetUnitInfoBySVAL1@give_exp.dmp
01AD5948	GetUnitInfoByCoord@give_exp.dmp
01AD593E	GetUnitInfoByCurrent@give_exp.dmp
01AD594A	GetUnitInfo@give_exp.dmp
01AD5950	CheckUnitInfo@give_exp.dmp
01AD5980	Term@give_exp.dmp
01AD5954	Change@give_exp.dmp
01AD5988	nin_i_exp@give_exp.dmp
01AD59DE	effect@give_exp.dmp
01AD59CE	noexp@give_exp.dmp
01AD5A78	event_procs@give_exp.dmp
01B3491C	Something_of_left@IndividualAnimation7743.dmp
01B3492E	find_anime@IndividualAnimation7743.dmp
01B3492A	exit@IndividualAnimation7743.dmp
01B3495C	CustomAnimeTable@IndividualAnimation7743.dmp
01B3493C	loop_search_table@IndividualAnimation7743.dmp
01B3494E	not_found@IndividualAnimation7743.dmp
01B3494A	found@IndividualAnimation7743.dmp
01B34952	store_and_exit@IndividualAnimation7743.dmp
01B349A4	CustomAnimeTable@IndividualAnimation7743_CC.dmp
01B3496E	loop_search_table@IndividualAnimation7743_CC.dmp
01B3498A	not_found@IndividualAnimation7743_CC.dmp
01B3497C	found@IndividualAnimation7743_CC.dmp
01B34996	store_and_exit@IndividualAnimation7743_CC.dmp
